method,eval_id,gen,depth,learning_rate,l2_leaf_reg,random_strength,bagging_temperature,rmse_mean,rmse_std,r2_mean,r2_std,mae_mean,mae_std,total_fit_time
ga,69,3,8,0.13610487113404368,2.8965246597927927,0.4914413814248496,1.002089550206727,1.2220646688388057,0.044243532434156976,0.4083479166432837,0.036647584196414305,0.8821850387932066,0.028295801929883277,6.627943992614746
ga,70,3,8,0.15454647721959652,2.320047619795716,0.3225435580672036,0.34855428859927035,1.2183044372564984,0.043022250429135614,0.4121158832888242,0.03365000945432537,0.8788726179808094,0.028802275015002755,6.60400128364563
ga,71,3,8,0.07982202158232628,1.798102118628684,0.0,0.544483123690318,1.2231728232982007,0.044564126099943036,0.40723880442160454,0.037412507223286776,0.8840117029842853,0.030133193616974314,6.555638551712036
ga,72,3,8,0.07982202158232628,1.687480340010694,1.3396279893650207,0.1800957215512835,1.2286880229938157,0.044278489190032966,0.40142335005673324,0.04408387966299233,0.8914795143710039,0.03252616094142977,6.670189380645752
ga,73,3,8,0.1480511118517336,1.4688346867518005,0.045424146267720955,0.1800957215512835,1.2201446535234353,0.04049754838788509,0.4101893058141507,0.034692381931065754,0.8803868467917267,0.026301497331253622,6.615103721618652
ga,74,3,8,0.12103300170437077,2.185274149262206,0.46730882288258996,0.1506884434083992,1.2277662192273093,0.041682387001713554,0.4023660055009482,0.04230480849299413,0.8909222117655842,0.028938705051728172,6.62346625328064
ga,75,3,7,0.13610487113404368,2.7479058749707526,0.13492620432296099,0.9599752643405697,1.218836546302303,0.04452384687670739,0.41153697264950234,0.03566583664072164,0.8790887768707997,0.029080445282736015,5.805579423904419
ga,76,3,8,0.13999710418256753,1.4688346867518005,1.2570276335714206,0.2795049672186196,1.2239862832887307,0.04082979125885572,0.40622468806263834,0.038816014428746444,0.8851364004102328,0.02991562435546459,6.6044700145721436
ga,77,3,7,0.1480511118517336,2.41974703431469,1.033847384785945,0.11170058716206352,1.223733559000676,0.04120812349596197,0.40653148372532916,0.03812881149807448,0.8862774570747988,0.02795663647934133,5.828249216079712
ga,78,3,9,0.13610487113404368,2.7805559800742103,0.3225435580672036,1.07936220539995,1.2195471449560853,0.04474742887340374,0.4107254097469578,0.03755516324079879,0.8816814722207343,0.029090595984239857,7.826427221298218
ga,79,3,7,0.1564971871191142,1.3057420380440832,0.0,0.0,1.2248113357821164,0.039950151019912686,0.4055519633038793,0.03647727637138717,0.8863433566206617,0.02764199778996894,5.7739527225494385
ga,80,3,9,0.1304253151580637,1.9598794305053449,0.4914413814248496,0.0,1.2315319258283286,0.0393906884955259,0.39856201235076416,0.04326943162497059,0.8934790915976158,0.03128985918710773,7.778123617172241
ga,81,3,8,0.15859600080073,1.4688346867518005,0.6247332827640821,0.12763451220835065,1.2256659031554185,0.04227962881152444,0.40461005045988474,0.03937905372556592,0.8866042638231795,0.02623081381315671,6.615107536315918
ga,82,3,8,0.13610487113404368,1.687480340010694,0.3225435580672036,1.002089550206727,1.2251964979742394,0.04230258743315796,0.40509961947291717,0.03897166090481981,0.8872386603095261,0.02859798307480669,6.637009620666504
ga,83,4,8,0.13610487113404368,2.8965246597927927,0.0,0.544483123690318,1.2177145301686165,0.04605113601731625,0.41276441632386823,0.03423875872123126,0.8778771224540336,0.03043421942763846,6.572014331817627
ga,84,4,8,0.13610487113404368,2.320047619795716,0.3225435580672036,0.1800957215512835,1.2206661285271185,0.041933707045643476,0.4095583196523391,0.037447156315817756,0.8813952303290773,0.028741538216192665,6.603340148925781
ga,85,4,8,0.17079786389705578,1.6177121975011037,0.3225435580672036,0.34855428859927035,1.2169137564789703,0.04414306412717846,0.4133450596454985,0.03605626844369716,0.8770212739539301,0.03072630360355588,6.6440911293029785
ga,86,4,8,0.13610487113404368,2.7805559800742103,0.3225435580672036,1.07936220539995,1.220998474687773,0.04422414881112133,0.4092904357325624,0.03803104783958796,0.8820547631446882,0.029628384483946495,6.6178812980651855
ga,87,4,9,0.13610487113404368,2.8965246597927927,0.3225435580672036,0.0,1.220596927999605,0.04407467266210034,0.4097839939328187,0.0360908667890118,0.880322341467704,0.028135123527699937,7.7978129386901855
ga,88,4,8,0.15454647721959652,2.7479058749707526,1.287730240161329,0.9599752643405697,1.2210656395100314,0.04315749244688854,0.409398985382279,0.034406736524580324,0.8803743355889905,0.027988507847206873,6.662163496017456
ga,89,4,8,0.15454647721959652,2.8965246597927927,0.3225435580672036,0.0,1.2193001160536816,0.03996132051961718,0.4110249198580126,0.03404254098184192,0.8816770687812301,0.025591622190780178,6.589427947998047
ga,90,4,9,0.15672130798407183,3.0538834969247706,0.5503333865041079,1.0368126490415803,1.222070522390322,0.045378960416029034,0.4082275414626834,0.039084317633394414,0.8818776229174248,0.030469839598719406,7.79960036277771
ga,91,4,8,0.13610487113404368,1.798102118628684,0.0,0.1800957215512835,1.2219596189808495,0.04121464341239222,0.4082802613546823,0.037610769643901774,0.8835121381529898,0.028227896745824335,6.556167364120483
ga,92,4,8,0.1480511118517336,1.4688346867518005,0.3225435580672036,0.0,1.2206697910406223,0.04231888463938411,0.4096015944357606,0.03699524821971866,0.8826034574635034,0.028405126829375727,6.628347158432007
ga,93,4,8,0.1480511118517336,1.4688346867518005,0.0,0.12000635230045356,1.221413750069903,0.040866309910061224,0.4088779573376901,0.036265366107233646,0.8823927955699608,0.026884318035772084,6.600354909896851
ga,94,4,8,0.13610487113404368,2.8965246597927927,0.4914413814248496,1.07936220539995,1.226338124377319,0.04081760268921343,0.40405239766535866,0.03725305523493705,0.8886121494588706,0.02618495010485039,6.626581430435181
